MY☀4K直播,#genre#
CCTV11,http://120.202.94.181:9446/tsfile/live/0011_1.m3u8?key=txiptv
CCTV11,http://223.75.149.129:9906/tsfile/live/0011_1.m3u8?key=txiptv
CCTV12,http://69.30.246.194/live/cctv12.m3u8
CCTV12,http://74.91.26.218:82/live/cctv12hd.m3u8
CCTV12,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv12hd
CCTV12,http://118.193.115.2:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV12,http://123.113.101.206:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV12,http://223.14.160.144:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV12,http://fuxin.yunjifei.top:999/tsfile/live/0012_1.m3u8?key=txiptv
CCTV12,http://139.227.221.119:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV12,http://shlt.sohu.blog:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV12,http://122.228.104.230:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV12,http://60.187.246.177:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV12,http://182.37.41.46:8154/tsfile/live/0012_1.m3u8?key=txiptv
CCTV12,http://120.202.94.181:9446/tsfile/live/0012_1.m3u8?key=txiptv
CCTV12,http://223.75.149.129:9906/tsfile/live/0012_1.m3u8?key=txiptv
CCTV13,http://69.30.246.194/live/cctv13.m3u8
CCTV13,http://74.91.26.218:82/live/cctv13hd.m3u8
CCTV13,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv13hd
CCTV13,http://118.193.115.2:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV13,http://123.113.101.206:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV13,http://223.14.160.144:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV13,http://fuxin.yunjifei.top:999/tsfile/live/0013_1.m3u8?key=txiptv
CCTV13,http://139.227.221.119:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV13,http://shlt.sohu.blog:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV13,http://122.228.104.230:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV13,http://182.37.41.46:8154/tsfile/live/0013_1.m3u8?key=txiptv
CCTV13,http://120.202.94.181:9446/tsfile/live/0013_1.m3u8?key=txiptv
CCTV13,http://223.75.149.129:9906/tsfile/live/0013_1.m3u8?key=txiptv
CCTV14,http://69.30.246.194/live/cctv14.m3u8
CCTV14,http://74.91.26.218:82/live/cctv14hd.m3u8
CCTV14,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv14hd
CCTV14,http://118.193.115.2:9901/tsfile/live/0014_1.m3u8?key=txiptv
